UID,Year,Make,Model,Trim,Option Codes,,Geography,,Start,End,,,,Cash Only (Before Tax),Cash Only (After Tax),Cash Rebate Dealer Contribution (Before Tax),Cash Rebate Dealer Contribution (After Tax),Note
ACU81480CAN44895,2022,Acura,ILX,Front Wheel Drive Sedan,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81480QC44895,2022,Acura,ILX,Front Wheel Drive Sedan,,,QC,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81480NB44895,2022,Acura,ILX,Front Wheel Drive Sedan,,,NB,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81480NL44895,2022,Acura,ILX,Front Wheel Drive Sedan,,,NL,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81480NS44895,2022,Acura,ILX,Front Wheel Drive Sedan,,,NS,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81480PE44895,2022,Acura,ILX,Front Wheel Drive Sedan,,,PE,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81481CAN44895,2022,Acura,ILX,Premium,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81481QC44895,2022,Acura,ILX,Premium,,,QC,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81481NB44895,2022,Acura,ILX,Premium,,,NB,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81481NL44895,2022,Acura,ILX,Premium,,,NL,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81481NS44895,2022,Acura,ILX,Premium,,,NS,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81481PE44895,2022,Acura,ILX,Premium,,,PE,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81482CAN44895,2022,Acura,ILX,Premium A-Spec,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81482QC44895,2022,Acura,ILX,Premium A-Spec,,,QC,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81482NB44895,2022,Acura,ILX,Premium A-Spec,,,NB,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81482NL44895,2022,Acura,ILX,Premium A-Spec,,,NL,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81482NS44895,2022,Acura,ILX,Premium A-Spec,,,NS,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81482PE44895,2022,Acura,ILX,Premium A-Spec,,,PE,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81483CAN44895,2022,Acura,ILX,Tech A-Spec,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81483QC44895,2022,Acura,ILX,Tech A-Spec,,,QC,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81483NB44895,2022,Acura,ILX,Tech A-Spec,,,NB,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81483NL44895,2022,Acura,ILX,Tech A-Spec,,,NL,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81483NS44895,2022,Acura,ILX,Tech A-Spec,,,NS,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81483PE44895,2022,Acura,ILX,Tech A-Spec,,,PE,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81691CAN44895,2022,Acura,TLX,4WD Sedan,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81691QC44895,2022,Acura,TLX,4WD Sedan,,,QC,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81691NB44895,2022,Acura,TLX,4WD Sedan,,,NB,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81691NL44895,2022,Acura,TLX,4WD Sedan,,,NL,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81691NS44895,2022,Acura,TLX,4WD Sedan,,,NS,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81691PE44895,2022,Acura,TLX,4WD Sedan,,,PE,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81694CAN44895,2022,Acura,TLX,Tech,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81694QC44895,2022,Acura,TLX,Tech,,,QC,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81694NB44895,2022,Acura,TLX,Tech,,,NB,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81694NL44895,2022,Acura,TLX,Tech,,,NL,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81694NS44895,2022,Acura,TLX,Tech,,,NS,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81694PE44895,2022,Acura,TLX,Tech,,,PE,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81692CAN44895,2022,Acura,TLX,A-SPEC,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81692QC44895,2022,Acura,TLX,A-SPEC,,,QC,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81692NB44895,2022,Acura,TLX,A-SPEC,,,NB,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81692NL44895,2022,Acura,TLX,A-SPEC,,,NL,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81692NS44895,2022,Acura,TLX,A-SPEC,,,NS,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81692PE44895,2022,Acura,TLX,A-SPEC,,,PE,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81693CAN44895,2022,Acura,TLX,Platinum Elite,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81693QC44895,2022,Acura,TLX,Platinum Elite,,,QC,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81693NB44895,2022,Acura,TLX,Platinum Elite,,,NB,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81693NL44895,2022,Acura,TLX,Platinum Elite,,,NL,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81693NS44895,2022,Acura,TLX,Platinum Elite,,,NS,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81693PE44895,2022,Acura,TLX,Platinum Elite,,,PE,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81695CAN44895,2022,Acura,TLX,Type S,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81484CAN44895,2022,Acura,RDX,4WD SUV,,,CAN,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81484QC44895,2022,Acura,RDX,4WD SUV,,,QC,,01-11-2022,30-11-2022,,,,0,0,0,0,
ACU81484NB44895,2022,Acura,RDX,4WD SUV,,,NB,,01-11-2022,30-11-2022,,,,0,0,0,0,
